effective_from,ordinary_wage_ceiling
1955-07,500
1968-09,2307.69
1970-01,1875
1971-01,1500
1972-07,1500
1973-07,1500
1974-07,1500
1975-07,2000
1977-07,2000
1978-07,3000
1979-07,3000
1980-07,3000
1981-07,3000
1982-07,3000
1983-07,3000
1983-11,4000
1984-04,4000
1984-07,5000
1985-07,6000
1986-04,6000
1988-07,6000
1989-07,6000
1990-07,6000
1991-07,6000
1992-07,6000
1993-07,6000
1994-07,6000
1999-01,6000
2000-04,6000
2001-01,6000
2002-10,6000
2003-10,6000
2004-01,5500
2005-01,5000
2006-01,4500
2007-07,4500
2010-09,4500
2011-03,4500
2011-09,5000
2012-09,5000
2014-01,5000
2016-01,6000
2023-09,6300
2024-01,6800
2025-01,7400
2026-01,8000
